Crm Cd Desc,CSS,Normalize,
ABORTION/ILLEGAL,1020,2.8796,
ARSON,185,0.5223,
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1965,5.5474,
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1965,5.5474,
ATTEMPTED ROBBERY,746,2.106,
BATTERY  SIMPLE ASSAULT,16,0.0452,
BATTERY ON A FIREFIGHTER,16,0.0452,
BATTERY POLICE (SIMPLE),9,0.0254,
BATTERY WITH SEXUAL CONTACT,16,0.0452,
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",53,0.1496,
BIGAMY,164,0.463,
BIKE  ATTEMPTED STOLEN,124,0.3501,
BIKE  STOLEN,124,0.3501,
BLOCKING DOOR INDUCTION CENTER,-,0,
BOAT  STOLEN,124,0.3501,
BOMB SCARE,59,0.1666,
BRANDISH WEAPON,55,0.1553,
BRIBERY,123,0.3472,
"BUNCO, ATTEMPT",112,0.3162,
"BUNCO, GRAND THEFT",224,0.6324,
"BUNCO, PETTY THEFT",179,0.5053,
BURGLARY,438,1.2365,
BURGLARY FROM VEHICLE,34,0.096,
"BURGLARY FROM VEHICLE, ATTEMPTED",34,0.096,
"BURGLARY, ATTEMPTED",350,0.9881,
CHILD ABANDONMENT,146,0.4122,
CHILD ABUSE (PHYSICAL)  AGGRAVATED ASSAULT,146,0.4122,
CHILD ABUSE (PHYSICAL)  SIMPLE ASSAULT,117,0.3303,
CHILD ANNOYING (17YRS & UNDER),709,2.0016,
CHILD NEGLECT (SEE 300 W.I.C.),73,0.2061,
CHILD PORNOGRAPHY,870,2.4561,
CHILD STEALING,293,0.8272,
CONSPIRACY,153,0.4319,
CONTEMPT OF COURT,165,0.4658,
CONTRIBUTING,-,0,
COUNTERFEIT,123,0.3472,
"CREDIT CARDS, FRAUD USE ($950 & UNDER",86,0.2428,
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",86,0.2428,
CRIMINAL HOMICIDE,7979,22.5255,
CRIMINAL THREATS  NO WEAPON DISPLAYED,59,0.1666,
CRM AGNST CHLD (13 OR UNDER) (1415 & SUSP 10 YRS OLDER),146,0.4122,
CRUELTY TO ANIMALS,175,0.494,
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",98,0.2767,
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",123,0.3472,
DISCHARGE FIREARMS/SHOTS FIRED,327,0.9232,
DISHONEST EMPLOYEE  GRAND THEFT,53,0.1496,
DISHONEST EMPLOYEE  PETTY THEFT,42,0.1186,
DISHONEST EMPLOYEE ATTEMPTED THEFT,27,0.0762,
DISRUPT SCHOOL,-,0,
DISTURBING THE PEACE,10,0.0282,
DOCUMENT FORGERY / STOLEN FELONY,199,0.5618,
DOCUMENT WORTHLESS ($200 & UNDER),69,0.1948,
DOCUMENT WORTHLESS ($200.01 & OVER),86,0.2428,
DRIVING WITHOUT OWNER CONSENT (DWOC),8,0.0226,
"DRUGS, TO A MINOR",497,1.4031,
DRUNK ROLL,86,0.2428,
DRUNK ROLL  ATTEMPT,43,0.1214,
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",167,0.4715,
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",134,0.3783,
EXTORTION,803,2.267,
FAILURE TO DISPERSE,10,0.0282,
FAILURE TO YIELD,120,0.3388,
FALSE IMPRISONMENT,165,0.4658,
FALSE POLICE REPORT,165,0.4658,
FIREARMS RESTRAINING ORDER (FIREARMS RO),58,0.1637,
FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO),58,0.1637,
GRAND THEFT / AUTO REPAIR,124,0.3501,
GRAND THEFT / INSURANCE FRAUD,224,0.6324,
HUMAN TRAFFICKING  COMMERCIAL SEX ACTS,1600,4.517,
HUMAN TRAFFICKING  INVOLUNTARY SERVITUDE,1480,4.1782,
ILLEGAL DUMPING,153,0.4319,
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),1046,2.953,
INCITING A RIOT,78,0.2202,
INDECENT EXPOSURE,41,0.1157,
INTIMATE PARTNER  AGGRAVATED ASSAULT,184,0.5195,
INTIMATE PARTNER  SIMPLE ASSAULT,147,0.415,
KIDNAPPING,1213,3.4244,
KIDNAPPING  GRAND ATTEMPT,970,2.7384,
"LETTERS, LEWD    TELEPHONE CALLS, LEWD",155,0.4376,
LEWD CONDUCT,,0,
LEWD/LASCIVIOUS ACTS WITH CHILD,709,2.0016,
LYNCHING,-,0,
LYNCHING  ATTEMPTED,-,0,
"MANSLAUGHTER, NEGLIGENT",7979,22.5255,
ORAL COPULATION,53,0.1496,
OTHER ASSAULT,,0,
OTHER MISCELLANEOUS CRIME,153,0.4319,
PANDERING,4,0.0113,
PEEPING TOM,41,0.1157,
PETTY THEFT  AUTO REPAIR,99,0.2795,
PICKPOCKET,86,0.2428,
"PICKPOCKET, ATTEMPT",43,0.1214,
PIMPING,370,1.0445,
PROWLER,51,0.144,
PURSE SNATCHING,86,0.2428,
PURSE SNATCHING  ATTEMPT,43,0.1214,
"RAPE, ATTEMPTED",462,1.3043,
"RAPE, FORCIBLE",923,2.6057,
RECKLESS DRIVING,120,0.3388,
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",58,0.1637,
RESISTING ARREST,10,0.0282,
ROBBERY,746,2.106,
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",53,0.1496,
SEXUAL PENETRATION W/FOREIGN OBJECT,53,0.1496,
SHOPLIFTING  ATTEMPT,13,0.0367,
SHOPLIFTING  PETTY THEFT ($950 & UNDER),14,0.0395,
SHOPLIFTINGGRAND THEFT ($950.01 & OVER),15,0.0423,
SHOTS FIRED AT INHABITED DWELLING,327,0.9232,
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",328,0.926,
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,53,0.1496,
STALKING,51,0.144,
TELEPHONE PROPERTY  DAMAGE,7,0.0198,
THEFT FROM MOTOR VEHICLE  ATTEMPT,34,0.096,
THEFT FROM MOTOR VEHICLE  GRAND ($400 AND OVER),34,0.096,
THEFT FROM MOTOR VEHICLE  PETTY ($950 & UNDER),34,0.096,
THEFT FROM PERSON  ATTEMPT,86,0.2428,
THEFT OF IDENTITY,224,0.6324,
THEFT PLAIN  ATTEMPT,33,0.0932,
THEFT PLAIN  PETTY ($950 & UNDER),33,0.0932,
"THEFT, COIN MACHINE  ATTEMPT",180,0.5082,
"THEFT, COIN MACHINE  GRAND ($950.01 & OVER)",181,0.511,
"THEFT, COIN MACHINE  PETTY ($950 & UNDER)",182,0.5138,
"THEFT, PERSON",86,0.2428,
"THEFTGRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",33,0.0932,
THREATENING PHONE CALLS/LETTERS,803,2.267,
THROWING OBJECT AT MOVING VEHICLE,12,0.0339,
TILL TAP  ATTEMPT,33,0.0932,
TILL TAP  GRAND THEFT ($950.01 & OVER),33,0.0932,
TILL TAP  PETTY ($950 & UNDER),33,0.0932,
TRAIN WRECKING,7,0.0198,
TRESPASSING,153,0.4319,
UNAUTHORIZED COMPUTER ACCESS,153,0.4319,
"VANDALISM  FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",7,0.0198,
VANDALISM  MISDEAMEANOR ($399 OR UNDER),7,0.0198,
VEHICLE  ATTEMPT STOLEN,124,0.3501,
"VEHICLE  MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS",16,0.0452,
VEHICLE STOLEN,124,0.3501,
VIOLATION OF COURT ORDER,10,0.0282,
VIOLATION OF RESTRAINING ORDER,10,0.0282,
VIOLATION OF TEMPORARY RESTRAINING ORDER,10,0.0282,
WEAPONS POSSESSION/BOMBING,635,1.7927,
Total,,,45695
Count,,,354.22